"1","1","5","6","0.00","11/7/2012 08:49:47","1"
"2","1","1157","6","0.00","11/7/2012 08:53:09","1"
"3","1","7","4","0.00","11/7/2012 09:34:56","1"
"4","1","8","4","0.00","11/7/2012 09:42:55","1"
"5","1","9","4","0.00","11/7/2012 09:52:20","1"
"6","1","9","6","0.00","11/7/2012 09:54:35","1"
"7","1","10","6","0.00","11/7/2012 10:29:52","1"
"8","1","11","6","0.00","11/7/2012 10:30:44","1"
"9","1","997","6","0.00","11/7/2012 10:41:35","1"
"10","1","13","11","0.00","11/7/2012 10:49:03","1"
"11","1","14","3","0.00","11/7/2012 12:09:37","1"
"12","1","14","11","0.00","11/7/2012 12:13:44","1"
"13","1","15","4","0.00","11/7/2012 12:30:56","1"
"14","1","16","4","0.00","11/7/2012 14:14:51","1"
"15","1","17","11","0.00","11/7/2012 14:56:41","1"
"16","1","18","11","0.00","11/7/2012 14:59:42","1"
"17","1","19","6","0.00","11/7/2012 15:36:23","1"
"18","1","20","12","0.00","11/7/2012 15:48:20","1"
"19","1","21","4","0.00","11/7/2012 16:11:13","1"
"20","1","22","11","0.00","11/7/2012 16:43:06","1"
"21","1","23","4","0.00","11/7/2012 16:58:22","1"
"22","1","24","4","0.00","11/7/2012 17:12:18","1"
"23","1","25","3","0.00","11/7/2012 17:27:43","1"
"24","1","26","11","0.00","11/7/2012 17:34:16","1"
"25","1","27","11","0.00","11/7/2012 17:48:35","1"
"26","1","28","4","0.00","11/7/2012 18:22:43","1"
"27","1","29","12","0.00","11/7/2012 19:04:32","1"
"28","1","4","6","0.00","11/7/2012 20:59:29","1"
"29","1","30","11","0.00","11/8/2012 08:53:35","1"
"30","1","31","11","0.00","11/8/2012 09:34:59","1"
"31","1","32","11","0.00","11/8/2012 09:51:35","1"
"32","1","30","11","0.00","11/8/2012 10:09:13","1"
"33","1","9","11","0.00","11/8/2012 10:28:50","1"
"34","1","9","11","0.00","11/8/2012 10:54:35","1"
"35","1","33","11","0.00","11/8/2012 11:01:34","1"
"39","1","39","4","0.00","11/8/2012 11:12:45","1"
"42","1","40","4","0.00","11/8/2012 12:03:17","1"
"43","1","41","4","0.00","11/8/2012 13:36:21","1"
"44","1","2774","11","0.00","11/8/2012 14:13:03","1"
"45","1","43","11","0.00","11/8/2012 14:24:46","1"
"46","1","44","11","0.00","11/8/2012 14:30:17","1"
"47","1","45","11","0.00","11/8/2012 14:32:31","1"
"48","1","15","11","0.00","11/8/2012 14:56:58","1"
"49","1","46","11","0.00","11/8/2012 15:12:50","1"
"50","1","47","11","0.00","11/8/2012 15:28:21","1"
"51","1","48","4","0.00","11/8/2012 16:05:22","1"
"52","1","49","12","0.00","11/8/2012 16:25:55","1"
"53","1","50","11","0.00","11/8/2012 16:28:23","1"
"54","1","51","11","0.00","11/8/2012 16:50:10","1"
"55","1","52","11","0.00","11/8/2012 16:53:07","1"
"56","1","53","12","0.00","11/8/2012 17:34:37","1"
"57","1","9","4","0.00","11/8/2012 17:43:16","1"
"58","1","9","11","0.00","11/8/2012 18:22:06","1"
"59","1","54","6","0.00","11/8/2012 18:50:07","1"
"60","1","55","3","0.00","11/9/2012 08:35:22","1"
"61","1","56","11","0.00","11/9/2012 09:07:22","1"
"62","1","57","11","0.00","11/9/2012 09:34:10","1"
"63","1","3196","4","0.00","11/9/2012 09:37:25","1"
"64","1","10","6","0.00","11/9/2012 09:50:05","1"
"65","1","10","6","0.00","11/9/2012 09:59:10","1"
"66","1","10","6","0.00","11/9/2012 10:03:43","1"
"67","1","10","6","0.00","11/9/2012 10:05:10","1"
"68","1","10","6","0.00","11/9/2012 10:09:45","1"
"69","1","59","4","0.00","11/9/2012 11:05:22","1"
"70","1","60","11","0.00","11/9/2012 11:12:32","1"
"71","1","61","4","0.00","11/9/2012 11:19:42","1"
"72","1","9","11","0.00","11/9/2012 11:28:14","1"
"73","1","62","11","0.00","11/9/2012 11:30:05","1"
