"1","1001676","4","61.47","5/7/2013 15:24:13"
"1","798304071054","10","74.82","5/7/2013 11:49:55"
"1","798305071336","6","90.81","5/7/2013 15:07:04"
"1","798309071103","2","88.47","5/7/2013 15:00:11"
"1","798310071116","2","88.74","5/7/2013 15:01:43"
"1","798311071122","2","88.07","5/7/2013 15:02:06"
"1","CS850XTK08121502442","2","137.11","5/7/2013 15:15:10"
"1","DH955STS01","3","440.53","5/7/2013 15:10:40"
"3","085854191586","2","40.00","5/7/2013 15:42:51"
"3","085854209038","6","185.00","5/7/2013 15:45:18"
"3","085854209052","6","130.00","5/7/2013 15:36:09"
"3","085854221764","1","120.00","5/7/2013 15:40:03"
"3","085854222648","3","45.00","5/7/2013 15:43:55"
"4","013803099027","12","151.00","5/7/2013 15:55:40"
"4","829160902210","3","113.00","5/7/2013 15:59:32"
"4","829160902227","3","99.00","5/7/2013 15:58:31"
"4","884962983546","3","80.00","5/7/2013 15:57:10"
"4","884962983553","3","154.00","5/7/2013 16:02:02"
"4","886111730520","3","479.34","5/7/2013 15:54:42"
"5","1001680","1","420.00","5/7/2013 16:50:02"
"5","685417034482","3","1310.00","5/7/2013 16:32:54"
"5","685417043682","2","925.00","5/7/2013 16:30:36"
"5","JPT50E","5","470.00","5/7/2013 16:47:09"
"6","013803160062","1","776.13","5/8/2013 10:28:48"
"6","10007990","20","3.72","5/8/2013 11:13:54"
"6","1001682","5","29.31","5/8/2013 11:11:20"
"6","1001684","6","225.99","5/8/2013 11:38:55"
"6","588003973116","3","155.44","5/8/2013 10:35:30"
"6","619659000417","10","48.36","5/8/2013 11:50:43"
"6","619659000424","10","54.98","5/8/2013 11:42:46"
"6","619659064686","10","54.98","5/8/2013 11:44:16"
"6","619659067021","5","53.73","5/8/2013 11:47:36"
"6","619659084493","5","95.76","5/8/2013 11:45:15"
"6","740617120639","5","46.59","5/8/2013 11:46:22"
"6","740617152326","10","28.82","5/8/2013 10:40:31"
"6","740617198225","5","62.52","5/8/2013 11:49:47"
"6","798302034150","10","79.82","5/8/2013 11:23:28"
"6","798302060883","2","44.66","5/8/2013 11:16:03"
"6","798302070332","3","93.55","5/8/2013 10:32:31"
"6","798302070349","3","93.54","5/8/2013 10:34:29"
"6","798302140295","2","418.93","5/8/2013 10:29:57"
"6","798308071098","1","547.49","5/8/2013 11:11:36"
"6","798312071404","2","90.55","5/8/2013 10:43:57"
"6","841163033920","6","61.40","5/8/2013 11:21:32"
"6","CS850XTK08121502442","6","144.77","5/8/2013 11:26:50"
"7","1PPSCBQU-006023","1","2543.24","5/8/2013 11:58:00"
"7","610839359400","3","338.76","5/8/2013 12:02:59"
"7","635753498493","1","2735.75","5/8/2013 11:59:33"
"7","878615024359","3","71.56","5/8/2013 12:03:16"
"7","878615035669","2","71.56","5/8/2013 12:03:26"
"7","8806085133211","1","3444.17","5/8/2013 12:02:31"
"7","884116114345","3","2656.13","5/8/2013 11:54:48"
"8","845973051709","4","306.70","5/8/2013 13:06:53"
"9","1PPSCBQU-006023","2","2543.24","5/8/2013 13:10:25"
"10","884116114345","3","2656.13","5/8/2013 13:12:13"
"11","013803215014","15","115.67","5/8/2013 14:29:13"
"12","1001688","5","179.80","5/8/2013 16:51:09"
"12","1001690","1","192.20","5/8/2013 16:53:41"
"12","878615038578","2","452.00","5/8/2013 16:49:44"
"12","878615040816","3","393.00","5/8/2013 16:48:29"
"12","X000FAK1UP","1","206.60","5/8/2013 16:52:34"
"13","027242859135","1","4625.71","5/9/2013 17:05:55"
"13","1PPSCBQU-006023","1","2543.24","5/9/2013 17:04:55"
"13","884116114345","1","2656.13","5/9/2013 17:03:09"
"13","887111468826","1","3653.32","5/9/2013 17:02:38"
"13","887111474032","1","4507.28","5/9/2013 17:05:33"
"14","1001691","1","1864.14","5/9/2013 17:18:21"
"15","1001692","1","2542.03","5/10/2013 09:25:19"
"15","798302034174","1","257.50","5/10/2013 09:23:31"
"16","10000533","48","10.00","5/10/2013 09:30:13"
"16","10000731","8","85.00","5/10/2013 09:30:59"
"16","10000755","12","70.00","5/10/2013 09:30:39"
"16","1000985","24","27.00","5/10/2013 09:29:09"
"17","010343902367","2","3371.86","5/10/2013 13:07:48"
"17","1PPSCBQU-006023","2","2543.24","5/10/2013 13:09:50"
"17","730143301428","5","378.16","5/10/2013 13:08:32"
"17","740617199796","10","234.39","5/10/2013 16:15:55"
"17","816909095418","5","478.36","5/10/2013 13:08:14"
"17","884116114345","2","2656.13","5/10/2013 16:52:32"
"17","887111468826","1","3257.97","5/10/2013 16:54:34"
"17","887111920690","2","1860.62","5/10/2013 13:08:58"
"18","B3C1Q582BA40003","5","433.00","5/10/2013 15:41:34"
"19","045496890438","8","173.55","5/14/2013 09:16:40"
"19","1001739","5","61.54","5/14/2013 10:58:57"
"19","187016367072","5","27.82","5/14/2013 09:26:46"
"19","187016377088","3","105.17","5/14/2013 09:23:13"
"19","187016574296","5","27.82","5/14/2013 09:32:50"
"19","187016574340","5","27.82","5/14/2013 09:28:50"
