"1","610839385935","1","1670.00","218.00","11/7/2012 08:50:46","64546549514jufgjhgu8"
"2","740617198270","1","100.00","12.00","11/7/2012 08:53:43",""
"3","10001745","1","426.00","158.00","11/7/2012 09:35:41",""
"4","798304071054","1","100.00","28.00","11/7/2012 09:46:11",""
"7","10002421","2","2000.00","619.00","11/7/2012 10:30:18",""
"8","013803099003","1","135.00","16.00","11/7/2012 10:31:31",""
"9","4710728129780","1","52.00","33.00","11/7/2012 10:41:49",""
"10","10001455","1","100.00","21.00","11/7/2012 10:49:23",""
"12","10000892","1","175.00","14.00","11/7/2012 12:14:01",""
"13","4711140879246","1","445.00","56.00","11/7/2012 12:34:04",""
"13","735858217798","1","1278.00","170.00","11/7/2012 12:32:52",""
"13","X000CGT5DL","1","625.00","9.00","11/7/2012 12:38:10",""
"14","884962566756","1","587.00","74.00","11/7/2012 14:16:10",""
"15","798310071116","1","103.00","21.00","11/7/2012 14:57:19",""
"16","091163240013","1","41.00","4.00","11/7/2012 15:00:35",""
"16","4710728129179","1","38.00","22.00","11/7/2012 15:00:17",""
"16","4711140876979","1","507.00","117.00","11/7/2012 15:01:00",""
"16","8756874598762","2","58.00","9.00","11/7/2012 15:01:32",""
"17","847073016961","3","1.00","-93.00","11/7/2012 15:37:51",""
"17","B006A2K1YC","5","0.00","0.00","11/7/2012 15:37:07",""
"18","719192186019","1","850.00","125.00","11/7/2012 15:48:37",""
"19","AB190GEN04","2","30.00","16.00","11/7/2012 16:11:27",""
"20","859381000655","1","189.00","87.00","11/7/2012 16:43:23",""
"21","AB190GEN04","1","35.00","21.00","11/7/2012 16:58:34",""
"22","884420588689","2","660.00","101.00","11/7/2012 17:14:25",""
"23","013803133752","1","749.00","159.00","11/7/2012 17:28:13",""
"23","740617126822","1","99.00","16.00","11/7/2012 17:28:35",""
"23","798303201148","1","165.00","20.00","11/7/2012 17:31:08",""
"24","013803124378","1","270.00","21.00","11/7/2012 17:35:06",""
"24","10001080","1","15.00","4.00","11/7/2012 17:34:32",""
"25","878615004443","1","175.00","87.00","11/7/2012 17:48:52",""
"26","731304220701","1","165.00","35.00","11/7/2012 18:22:59",""
"27","10001837","1","1.00","-15.00","11/7/2012 19:05:44",""
"27","10005781","1","6800.00","756.00","11/7/2012 19:04:49",""
"27","4710728127885","1","34.00","7.00","11/7/2012 19:06:11",""
"29","013803124378","1","270.00","21.00","11/8/2012 08:54:29",""
"30","10006023","1","280.00","109.00","11/8/2012 09:35:22",""
"31","740617128147","1","65.00","16.00","11/8/2012 09:51:49",""
"32","10001080","1","15.00","4.00","11/8/2012 10:09:23",""
"33","AW102NXT04","3","2.00","1.00","11/8/2012 10:38:24",""
"35","588003973116","1","180.00","20.00","11/8/2012 11:01:46",""
"39","740617198270","1","89.00","1.00","11/8/2012 11:13:03",""
"42","740617198270","1","89.00","1.00","11/8/2012 12:03:35",""
"43","022265120101","1","4783.00","1242.00","11/8/2012 13:37:04",""
"43","4710728129414","1","145.00","22.00","11/8/2012 13:37:55",""
"43","619659064686","1","55.00","2.00","11/8/2012 13:38:57",""
"43","766623421027","1","72.00","15.00","11/8/2012 13:38:45",""
"43","798305071336","1","100.00","9.00","11/8/2012 13:38:30",""
"44","798302052130","1","250.00","93.00","11/8/2012 14:13:23",""
"44","AW102NXT04","10","2.00","1.00","11/8/2012 14:14:01",""
"45","8416816840136","1","50.00","13.00","11/8/2012 14:24:59",""
"46","619659066871","1","30.00","4.00","11/8/2012 14:30:30",""
"47","4711158196885","1","265.00","44.00","11/8/2012 14:32:54",""
"48","10001226","1","28.00","7.00","11/8/2012 14:58:21",""
"48","798304071054","1","90.00","18.00","11/8/2012 14:57:53",""
"49","8416816840136","1","50.00","13.00","11/8/2012 15:13:01",""
"50","790069324703","1","240.00","20.00","11/8/2012 15:28:49",""
"51","013803123432","1","475.00","72.00","11/8/2012 16:21:29",""
"52","091163240013","1","47.00","10.00","11/8/2012 16:26:44",""
"52","7406176000975","1","25.00","7.00","11/8/2012 16:26:32",""
"52","766623177627","1","40.00","10.00","11/8/2012 16:26:10",""
"52","766623421027","1","76.00","19.00","11/8/2012 16:26:20",""
"53","766623177627","1","40.00","10.00","11/8/2012 16:28:35",""
"54","619659066871","1","30.00","4.00","11/8/2012 16:50:22",""
"55","10002421","1","1800.00","419.00","11/8/2012 16:53:30",""
"56","10005958","1","85.00","18.00","11/8/2012 17:34:50",""
"56","5352895478415","1","40.00","6.00","11/8/2012 17:35:18",""
"57","740617198270","1","89.00","1.00","11/8/2012 17:43:58",""
"58","013803051254","1","182.00","92.00","11/8/2012 18:22:21",""
"59","10000724","1","70.00","10.00","11/8/2012 18:50:51",""
"59","10000762","1","90.00","5.00","11/8/2012 18:50:33",""
"60","619659068769","1","42.00","4.00","11/9/2012 08:36:13",""
"61","740617198270","1","89.00","1.00","11/9/2012 09:07:49",""
"62","619659064686","1","55.00","2.00","11/9/2012 09:34:27",""
"63","10001035","2","15.00","2.00","11/9/2012 09:37:43",""
"64","798305071732","1","145.00","16.00","11/9/2012 09:53:14",""
"69","010343884151","1","4495.00","458.00","11/9/2012 11:05:56",""
"70","025215626401","1","27.00","7.00","11/9/2012 11:12:54",""
"70","10001172","1","9.00","3.00","11/9/2012 11:13:05",""
"71","10001134","1","10.00","1.00","11/9/2012 11:20:28",""
"71","AB190GEN04","1","30.00","16.00","11/9/2012 11:20:09",""
"72","10001080","1","15.00","4.00","11/9/2012 11:28:41",""
"73","10000830","1","23.00","5.00","11/9/2012 11:30:15",""
"74","10000946","1","100.00","35.00","11/9/2012 12:09:02",""
"75","740617176964","1","55.00","2.00","11/9/2012 13:14:10",""
"76","740617198270","1","89.00","1.00","11/9/2012 13:38:11",""
"78","013803124378","1","265.00","16.00","11/9/2012 14:20:02",""
"79","740617176964","1","55.00","2.00","11/9/2012 14:26:08",""
"80","10003343","1","570.00","83.00","11/9/2012 14:32:00",""
"81","740617176964","1","55.00","2.00","11/9/2012 14:34:48",""
"82","10000588","1","35.00","8.00","11/9/2012 14:46:52",""
"83","10000892","1","180.00","19.00","11/9/2012 14:55:16",""
"83","740617173741","1","80.00","-4.00","11/9/2012 14:55:52",""
"84","3754435","1","450.00","192.00","11/9/2012 15:23:10",""
"85","10000816","1","20.00","5.00","11/9/2012 16:16:23",""
"86","798302034150","1","100.00","10.00","11/9/2012 15:51:34",""
"87","798302034174","2","250.00","17.00","11/9/2012 16:03:16",""
"88","10000892","2","199.00","38.00","11/9/2012 16:38:20",""
"89","013803123500","1","695.00","346.00","11/9/2012 16:55:51",""
"89","097855021656","1","1100.00","423.00","11/9/2012 16:51:13",""
"89","10002780","1","695.00","130.00","11/9/2012 16:53:15",""
"89","10002896","4","175.00","45.00","11/9/2012 16:52:21",""
"89","10003190","1","575.00","120.00","11/9/2012 16:52:55",""
"89","100058298","4","2795.00","674.00","11/9/2012 16:47:33",""
"89","4710728126925","4","22.00","3.00","11/9/2012 16:50:18",""
"89","719192186019","4","750.00","25.00","11/9/2012 16:48:35",""
"89","798302140295","3","500.00","98.00","11/9/2012 16:51:50",""
"89","8756874598762","4","60.00","11.00","11/9/2012 16:49:55",""
"89","884483380466","1","1327.00","67.00","11/9/2012 16:57:51",""
"90","10001301","1","115.00","20.00","11/9/2012 16:59:17",""
"91","740617198270","1","89.00","1.00","11/9/2012 17:47:00",""
"91","798310071116","1","109.00","67.00","11/9/2012 17:46:50",""
"93","4713621725813","1","70.00","17.00","11/10/2012 09:31:51",""
"93","740617176964","1","55.00","2.00","11/10/2012 09:31:21",""
"94","013803099003","1","142.00","23.00","11/10/2012 10:14:20",""
"94","013803099027","1","180.00","27.00","11/10/2012 10:13:54",""
"95","4710728122934","1","50.00","9.00","11/10/2012 10:54:25",""
"96","10005958","1","90.00","23.00","11/10/2012 11:11:11",""
"96","4710728121210","1","45.00","15.00","11/10/2012 11:06:07",""
"96","705487189421","2","775.00","121.00","11/10/2012 11:05:56",""
"97","751492428451","1","199.00","41.00","11/10/2012 11:12:48",""
"98","10001479","1","5.00","1.00","11/10/2012 11:21:04",""
"99","B0042Q5K7Q","1","325.00","180.00","11/10/2012 11:29:08",""
"100","082RLB9071900","1","272.00","72.00","11/10/2012 12:02:18",""
"100","883974913473","1","775.00","75.00","11/10/2012 12:07:30",""
"101","619659066871","1","30.00","4.00","11/10/2012 12:12:51",""
"102","619659066871","1","30.00","4.00","11/10/2012 12:53:02",""
"103","X000BI8077","1","175.00","19.00","11/10/2012 13:18:51",""
"104","4710728121210","1","45.00","15.00","11/10/2012 13:35:13",""
"105","ab160gen25","2","10.00","10.00","11/10/2012 13:43:49",""
"106","836837008564","1","125.00","62.00","11/10/2012 14:32:14",""
"110","4710728125591","1","45.00","27.00","11/10/2012 15:16:55",""
"112","10000731","1","107.00","22.00","11/10/2012 15:23:04",""
"134","798302070332","1","115.00","23.00","11/12/2012 08:58:54",""
"135","619659066871","1","30.00","4.00","11/12/2012 09:06:24",""
"137","013803051254","1","146.00","56.00","11/12/2012 09:28:58",""
"137","884420588689","2","587.00","48.00","11/12/2012 09:28:35",""
"137","CS850XTK08'131702841","1","144.00","12.00","11/12/2012 09:28:16",""
"138","740617198270","1","89.00","1.00","11/12/2012 09:47:01",""
"139","619659066871","1","30.00","4.00","11/12/2012 10:03:10",""
"140","740617176964","1","55.00","2.00","11/12/2012 10:21:33",""
"141","807284700844","6","2.00","1.00","11/12/2012 10:56:37",""
"142","4710728127953","1","100.00","14.00","11/12/2012 11:19:25",""
"142","740617198270","1","89.00","31.00","11/12/2012 11:24:04",""
"142","884116076629","1","4695.00","1302.00","11/12/2012 11:20:58",""
"143","013803099003","1","141.00","22.00","11/12/2012 11:56:42",""
"143","013803099027","1","189.00","36.00","11/12/2012 11:56:29",""
"144","884420588702","1","670.00","52.00","11/12/2012 12:02:33",""
"146","4710728127878","1","39.00","12.00","11/12/2012 12:33:01",""
"147","619659066925","1","180.00","20.00","11/12/2012 12:38:35",""
"148","AW102NXT04","10","2.00","1.00","11/12/2012 12:47:17",""
"149","X000ALCHRT","1","39.00","16.00","11/12/2012 13:15:35",""
"150","798302061620","1","26.00","9.00","11/12/2012 13:40:53",""
"151","4710728129636","1","62.00","13.00","11/12/2012 13:55:30",""
"152","4710728123016","2","33.00","6.00","11/12/2012 14:39:48",""
"153","740617173741","1","85.00","1.00","11/12/2012 14:42:44",""
"154","4710728127885","1","39.00","12.00","11/12/2012 14:45:37",""
"156","10006214","2","2100.00","339.36","11/12/2012 15:11:54",""
"156","886111389506","1","3821.00","84.00","11/12/2012 15:15:28",""
"157","036725734333","1","4650.00","732.00","11/12/2012 15:32:02",""
"158","10001479","1","5.00","1.00","11/12/2012 16:30:14",""
"158","4710728128295","1","102.00","21.00","11/12/2012 16:29:55",""
