"1","6","522","Efectivo","45500.00","19","0","12/2/2012 23:43:23"
"2","6","247","Cheque","1500.00","19","0","12/3/2012 14:05:45"
"3","6","247","Cheque","100.00","19","0","12/3/2012 14:05:54"
"4","6","247","Efectivo","1400.00","19","0","12/3/2012 21:21:04"
"5","6","356","Efectivo","18780.00","19","0","12/3/2012 21:21:41"
"6","6","356","Efectivo","7695.00","19","0","12/3/2012 21:21:57"
"7","6","460","Efectivo","4695.00","19","0","12/3/2012 21:22:22"
"8","3","169","Tarjeta","2620.00","90","0","12/4/2012 10:12:57"
"9","12","137","Efectivo","1464.00","80","0","12/4/2012 12:31:44"
"10","2","366","Efectivo","950.00","65","0","12/4/2012 12:34:27"
"11","3","468","Efectivo","300.00","259","0","12/4/2012 13:20:53"
"12","3","569","Efectivo","300.00","52","0","12/4/2012 20:26:06"
"13","6","446","Efectivo","70.00","52","0","12/4/2012 20:30:19"
"14","6","343","Efectivo","225.00","52","0","12/4/2012 20:30:46"
"15","6","55","Efectivo","1089.00","52","0","12/4/2012 20:31:50"
"16","6","569","Efectivo","100.00","52","0","12/4/2012 20:32:32"
"17","4","554","Cheque","630.00","290","0","12/5/2012 10:56:34"
"18","4","580","Efectivo","85.00","317","0","12/5/2012 15:52:12"
"19","12","606","tarjeta","190.00","323","0","12/6/2012 14:58:56"
"20","2","51","Cheque","475.00","48","0","12/7/2012 10:22:48"
"21","12","372","Cheque","533.00","155","0","12/10/2012 15:11:47"
"22","2","608","Cheque","3170.00","155","0","12/10/2012 15:12:28"
"23","12","404","Cheque","115.00","80","0","12/10/2012 15:13:26"
"24","6","64","Cheque","145.00","10","0","12/12/2012 16:22:49"
"25","6","87","Cheque","500.00","10","0","12/12/2012 16:23:18"
"26","6","156","Cheque","8021.00","10","0","12/12/2012 16:29:55"
"27","6","232","Cheque","25400.00","10","0","12/12/2012 16:37:41"
"28","6","233","Cheque","8200.00","10","0","12/12/2012 16:38:04"
"29","6","348","Cheque","14691.00","10","0","12/12/2012 16:38:45"
"30","6","411","Cheque","2400.00","10","0","12/12/2012 16:39:06"
"31","6","587","Cheque","9591.00","10","0","12/12/2012 16:41:00"
"32","12","578","Cheque","605.00","315","0","12/14/2012 15:04:20"
"33","12","719","Cheque","1300.00","366","0","12/14/2012 15:05:05"
"34","4","22","Cheque","1320.00","24","0","12/14/2012 20:14:22"
"35","6","55","Efectivo","221.00","52","0","12/15/2012 15:44:26"
"36","12","371","Cheque","1240.00","184","0","12/17/2012 10:37:19"
"37","12","679","Cheque","3137.00","80","0","12/17/2012 10:39:32"
"38","4","753","Efectivo","170.00","378","0","12/17/2012 20:21:24"
"39","12","57","Cheque","89.00","9","0","12/18/2012 20:27:46"
"40","12","887","Cheque","1421.00","366","0","12/19/2012 10:15:11"
"41","6","375","Cheque","10035.00","90","0","12/20/2012 20:49:28"
"42","12","55","Efectivo","300.00","52","0","12/21/2012 10:45:05"
"43","3","957","Cheque","200.00","459","0","12/21/2012 12:22:48"
"44","3","713","Cheque","8306.00","90","0","12/26/2012 13:29:38"
"45","3","948","Cheque","10667.00","90","0","12/26/2012 13:30:35"
"46","2","485","Efectivo","2900.00","265","0","12/26/2012 16:20:15"
"47","6","469","Cheque","3870.00","10","0","12/26/2012 18:38:53"
"48","3","55","Efectivo","100.00","52","0","12/26/2012 19:39:56"
"49","3","569","Efectivo","100.00","52","0","12/26/2012 19:40:17"
"50","3","485","Efectivo","595.00","265","0","12/26/2012 19:52:50"
"51","3","468","Cheque","304.00","259","0","12/27/2012 12:18:13"
